material_id,formula,chemistry_family,predicted_voltage_V,est_capacity_mAh_g,est_energy_density_Wh_kg,energy_above_hull_meV,formation_energy_eV_atom,nsites
mp-1018766,Li3LaAs2,sulfide,-0.40252068638801575,259.73306924370695,-104.54793330964294,0.0,-1.196836438333332,6
mp-1018768,Li3LaBi2,other,-0.5600368976593018,139.1855521221642,-77.94904480949388,0.0,-0.8822767608333301,6
mp-1018769,Li3NdSb2,sulfide,0.23802721500396729,196.79136532178126,46.841700624371896,0.0,-1.00149313625,6
mp-1018770,Li3PrBi2,other,-0.1398535668849945,138.70482305716257,-19.398364248696215,0.0,-0.838236276944447,6
mp-1018779,Li3PrSb2,sulfide,0.26048222184181213,198.41053925514987,51.68241810201352,0.0,-1.001156936944442,6
mp-1018780,Li3SmBi2,sulfide,-0.1554909646511078,136.47941300578907,-21.22131558328709,0.0,-0.8249558166666681,6
mp-1018781,Li3SmSb2,sulfide,0.22086843848228455,193.88815610207786,42.82377427847537,0.0,-0.9946934483333341,6
mp-1018782,Li3YBi2,other,-0.31396254897117615,152.3736537186204,-47.839620717549394,0.0,-0.8046964016666651,6
mp-1077469,Li3GdBi2,other,-0.18035581707954407,134.90174550503679,-24.33031453601762,0.0,-0.796041649999997,6
mp-1206280,Li3YSb2,sulfide,-0.7894765138626099,227.61857540371327,-179.69951940009713,0.0,-0.9807867533333331,6
mp-8405,Li3LaSb2,sulfide,-0.3821442425251007,199.39567284657025,-76.19790836273538,0.0,-1.041515827499999,6
mp-8406,Li3NdAs2,sulfide,0.021876007318496704,255.33155376709786,5.585634938852167,0.0,-1.168352880416667,6
mp-8407,Li3LaP2,other,-0.3198188841342926,362.7185720434843,-116.00424896573116,0.0,-1.162879446825396,6
mp-560890,Li3ScF6,sulfide,0.21772757172584534,447.2731775952672,97.3837028559203,0.0,-3.602170455333333,60
mp-33461,Li3Mn3O8,oxide,1.276251196861267,256.3702495790174,327.1928378648427,45.589849095232005,-1.9626407702709372,14
mp-752879,Li3Ti4O8,oxide,0.23397624492645264,236.28933527130985,55.286091382948676,45.010171000001,-3.058878384222223,15
mp-755272,Li3V5O8,oxide,0.43867048621177673,199.25868414329003,87.40890385505588,33.259962239585,-2.36510658875,16
mp-756159,Li3Ni5O8,oxide,1.753381609916687,181.79672301944538,318.75903088541315,11.688770624999002,-1.416326028749999,16
mp-768634,Li3Cr4O8,oxide,0.824310302734375,225.3514968781057,185.7595606132359,33.695914148156,-2.31575317,30
mp-1222551,Li3NdGa8,other,0.3910823464393616,111.2348498787437,43.50198609640922,10.232414833334001,-0.41536674904166404,12
mp-1222867,Li3CeGa8,other,0.37127262353897095,111.87341994064474,41.5355381256402,17.486918166662,-0.400282344833335,12
mp-1188187,Li3(ZnSn2)2,sulfide,-0.2633209526538849,128.34547256820238,-33.7960521054721,0.0,-0.254041626666667,18
mp-1173947,Li3Mn2O5,oxide,0.8923228979110718,381.62075053220013,340.528934017891,22.656905999987,-2.149358717586207,20
